cohort_month,months_since_signup,active_users,cohort_users,retention_rate
2019-01-01,0,7,7,1.0
2019-01-01,11,1,7,0.14285714285714285
2019-01-01,12,1,7,0.14285714285714285
2019-01-01,22,1,7,0.14285714285714285
2019-01-01,45,2,7,0.2857142857142857
2019-01-01,71,1,7,0.14285714285714285
2019-01-01,76,1,7,0.14285714285714285
2019-01-01,87,1,7,0.14285714285714285
2019-02-01,0,10,10,1.0
2019-02-01,14,1,10,0.1
2019-02-01,16,1,10,0.1
2019-02-01,26,1,10,0.1
2019-02-01,28,1,10,0.1
2019-02-01,33,1,10,0.1
2019-02-01,58,2,10,0.2
2019-02-01,72,1,10,0.1
2019-02-01,74,1,10,0.1
2019-03-01,0,46,46,1.0
2019-03-01,1,4,46,0.08695652173913043
2019-03-01,3,1,46,0.021739130434782608
2019-03-01,10,2,46,0.043478260869565216
2019-03-01,13,1,46,0.021739130434782608
2019-03-01,18,1,46,0.021739130434782608
2019-03-01,24,1,46,0.021739130434782608
2019-03-01,33,1,46,0.021739130434782608
2019-03-01,34,1,46,0.021739130434782608
2019-03-01,40,1,46,0.021739130434782608
2019-03-01,41,1,46,0.021739130434782608
2019-03-01,44,1,46,0.021739130434782608
2019-03-01,48,1,46,0.021739130434782608
2019-03-01,49,1,46,0.021739130434782608
2019-03-01,50,1,46,0.021739130434782608
2019-03-01,51,1,46,0.021739130434782608
2019-03-01,53,1,46,0.021739130434782608
2019-03-01,54,2,46,0.043478260869565216
2019-03-01,56,1,46,0.021739130434782608
2019-03-01,62,1,46,0.021739130434782608
2019-03-01,64,2,46,0.043478260869565216
2019-03-01,74,2,46,0.043478260869565216
2019-03-01,77,1,46,0.021739130434782608
2019-03-01,78,1,46,0.021739130434782608
2019-03-01,80,1,46,0.021739130434782608
2019-03-01,87,1,46,0.021739130434782608
2019-03-01,89,1,46,0.021739130434782608
2019-04-01,0,37,37,1.0
2019-04-01,1,3,37,0.08108108108108109
2019-04-01,5,1,37,0.02702702702702703
2019-04-01,9,2,37,0.05405405405405406
2019-04-01,12,2,37,0.05405405405405406
2019-04-01,14,1,37,0.02702702702702703
2019-04-01,18,1,37,0.02702702702702703
2019-04-01,22,1,37,0.02702702702702703
2019-04-01,26,1,37,0.02702702702702703
2019-04-01,33,2,37,0.05405405405405406
2019-04-01,35,1,37,0.02702702702702703
2019-04-01,36,2,37,0.05405405405405406
2019-04-01,37,1,37,0.02702702702702703
2019-04-01,46,2,37,0.05405405405405406
2019-04-01,47,1,37,0.02702702702702703
2019-04-01,52,1,37,0.02702702702702703
2019-04-01,55,1,37,0.02702702702702703
2019-04-01,57,1,37,0.02702702702702703
2019-04-01,59,1,37,0.02702702702702703
2019-04-01,60,1,37,0.02702702702702703
2019-04-01,61,1,37,0.02702702702702703
2019-04-01,63,1,37,0.02702702702702703
2019-04-01,73,1,37,0.02702702702702703
2019-04-01,77,1,37,0.02702702702702703
2019-04-01,80,1,37,0.02702702702702703
2019-04-01,85,1,37,0.02702702702702703
2019-05-01,0,56,56,1.0
2019-05-01,1,2,56,0.03571428571428571
2019-05-01,3,1,56,0.017857142857142856
2019-05-01,6,1,56,0.017857142857142856
2019-05-01,9,1,56,0.017857142857142856
2019-05-01,10,1,56,0.017857142857142856
2019-05-01,12,1,56,0.017857142857142856
2019-05-01,14,1,56,0.017857142857142856
2019-05-01,16,1,56,0.017857142857142856
2019-05-01,18,1,56,0.017857142857142856
2019-05-01,19,1,56,0.017857142857142856
2019-05-01,20,2,56,0.03571428571428571
2019-05-01,24,1,56,0.017857142857142856
2019-05-01,26,1,56,0.017857142857142856
2019-05-01,29,2,56,0.03571428571428571
2019-05-01,32,1,56,0.017857142857142856
2019-05-01,34,1,56,0.017857142857142856
2019-05-01,37,1,56,0.017857142857142856
2019-05-01,51,1,56,0.017857142857142856
2019-05-01,52,1,56,0.017857142857142856
2019-05-01,56,2,56,0.03571428571428571
2019-05-01,58,1,56,0.017857142857142856
2019-05-01,60,1,56,0.017857142857142856
2019-05-01,61,1,56,0.017857142857142856
2019-05-01,63,1,56,0.017857142857142856
2019-05-01,65,1,56,0.017857142857142856
2019-05-01,67,1,56,0.017857142857142856
2019-05-01,70,2,56,0.03571428571428571
2019-05-01,71,1,56,0.017857142857142856
2019-05-01,72,1,56,0.017857142857142856
2019-05-01,73,1,56,0.017857142857142856
2019-05-01,76,1,56,0.017857142857142856
2019-05-01,78,1,56,0.017857142857142856
2019-05-01,79,2,56,0.03571428571428571
2019-05-01,83,2,56,0.03571428571428571
2019-06-01,0,60,60,1.0
2019-06-01,1,1,60,0.016666666666666666
2019-06-01,2,2,60,0.03333333333333333
2019-06-01,3,1,60,0.016666666666666666
2019-06-01,4,1,60,0.016666666666666666
2019-06-01,5,1,60,0.016666666666666666
2019-06-01,7,1,60,0.016666666666666666
2019-06-01,8,2,60,0.03333333333333333
2019-06-01,9,2,60,0.03333333333333333
2019-06-01,14,1,60,0.016666666666666666
2019-06-01,15,1,60,0.016666666666666666
2019-06-01,16,1,60,0.016666666666666666
2019-06-01,18,1,60,0.016666666666666666
2019-06-01,22,1,60,0.016666666666666666
2019-06-01,25,2,60,0.03333333333333333
2019-06-01,27,1,60,0.016666666666666666
2019-06-01,28,1,60,0.016666666666666666
2019-06-01,31,2,60,0.03333333333333333
2019-06-01,32,2,60,0.03333333333333333
2019-06-01,38,1,60,0.016666666666666666
2019-06-01,42,1,60,0.016666666666666666
2019-06-01,45,2,60,0.03333333333333333
2019-06-01,47,1,60,0.016666666666666666
2019-06-01,50,1,60,0.016666666666666666
2019-06-01,51,1,60,0.016666666666666666
2019-06-01,52,1,60,0.016666666666666666
2019-06-01,59,1,60,0.016666666666666666
2019-06-01,61,1,60,0.016666666666666666
2019-06-01,63,2,60,0.03333333333333333
2019-06-01,65,1,60,0.016666666666666666
2019-06-01,67,2,60,0.03333333333333333
2019-06-01,68,1,60,0.016666666666666666
2019-06-01,69,1,60,0.016666666666666666
2019-06-01,71,1,60,0.016666666666666666
2019-06-01,73,3,60,0.05
2019-06-01,74,1,60,0.016666666666666666
2019-06-01,76,1,60,0.016666666666666666
2019-06-01,77,2,60,0.03333333333333333
2019-06-01,80,2,60,0.03333333333333333
2019-06-01,84,1,60,0.016666666666666666
2019-07-01,0,80,80,1.0
2019-07-01,1,1,80,0.0125
2019-07-01,3,2,80,0.025
2019-07-01,4,1,80,0.0125
2019-07-01,6,3,80,0.0375
2019-07-01,7,1,80,0.0125
2019-07-01,8,1,80,0.0125
2019-07-01,9,3,80,0.0375
